,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
65,Khem Birch,TOR,28,23,109.7,13.8,19.4,0.7,20.3,34.7,7.2,5.1,6.0,21.7,0.073
66,Nicolas Batum,LAC,32,44,108.2,14.3,20.3,1.0,23.2,20.4,8.4,6.7,6.3,26.8,0.1
67,Reggie Jackson,LAC,31,43,109.3,10.7,14.5,0.6,17.9,6.0,7.4,5.7,6.2,22.4,0.077
68,Terance Mann,LAC,24,45,109.7,14.0,20.3,0.4,16.2,11.2,6.0,5.5,4.8,19.3,0.062
69,Aaron Holiday,IND,24,30,110.3,6.0,9.3,0.7,21.1,7.9,5.9,6.1,5.1,19.4,0.055
70,Bismack Biyombo,CHA,28,28,111.7,15.0,21.9,0.3,7.9,47.7,7.2,5.3,6.3,19.5,0.054
71,Bobby Portis,MIL,26,44,108.3,22.9,32.5,0.8,21.8,22.0,6.7,5.8,4.3,19.2,0.076
72,Donte DiVincenzo,MIL,24,44,109.1,15.5,21.1,1.1,22.1,7.9,8.8,7.1,6.1,25.8,0.094
73,Doug McDermott,IND,29,32,112.3,9.6,14.4,0.3,7.2,3.3,8.6,7.6,7.1,27.4,0.061
74,Kenrich Williams,OKC,26,21,111.1,12.9,18.2,0.8,23.2,13.5,9.5,6.2,5.4,21.4,0.061
75,Lou Williams,ATL,34,44,110.6,8.0,11.5,0.7,22.4,5.1,6.9,6.0,5.8,22.2,0.065
76,Luka Doncic,DAL,22,40,112.7,20.2,29.3,1.0,21.5,17.1,10.0,9.6,9.4,33.0,0.081
77,Miles Bridges,CHA,23,31,110.1,15.8,23.8,0.7,14.1,26.0,10.6,7.9,7.3,29.0,0.092
78,Payton Pritchard,BOS,23,33,110.6,9.9,14.3,0.6,18.7,6.9,6.1,5.1,4.2,17.2,0.056
79,Svi Mykhailiuk,OKC,24,13,112.0,10.4,15.0,0.8,23.1,10.4,8.0,5.2,6.0,20.8,0.051
80,Bruce Brown,BKN,24,45,112.4,15.4,22.8,0.9,28.9,18.7,7.7,7.3,5.4,21.3,0.054
81,Daniel Theis,CHI,29,28,110.8,16.4,23.3,0.6,17.2,37.3,8.4,5.9,6.4,22.9,0.071
82,Facundo Campazzo,DEN,30,43,108.8,8.1,11.3,1.2,32.0,11.6,7.0,5.0,5.1,19.8,0.076
83,Matisse Thybulle,PHI,24,46,104.7,7.0,10.2,1.6,40.7,36.6,7.1,4.7,5.6,19.0,0.095
84,Reggie Bullock,NYK,30,38,107.2,10.2,14.5,0.8,18.6,5.7,9.2,7.3,7.1,28.2,0.119
85,Russell Westbrook,WAS,32,30,110.4,24.9,36.2,1.4,25.0,11.5,12.6,10.5,7.9,36.8,0.111
86,Talen Horton-Tucker,LAL,20,39,104.7,10.4,15.1,1.0,27.2,14.4,6.8,5.3,5.0,19.2,0.095
87,Theo Maledon,OKC,20,20,113.6,10.1,14.3,0.9,22.4,6.5,12.0,7.5,7.0,29.0,0.057
